Cityscale图像分割可视化统计报告
==================================================
权重文件: weights/SwinT_OA_Cityscale_best_loss.th
输入尺寸: (512, 512)
可视化样本数: 432
保存目录: results/cityscale
合并可视化图像: results/cityscale/sample_*.png
原始图像目录: results/cityscale/images/
真实掩码目录: results/cityscale/gt/
预测掩码目录: results/cityscale/pred/
--------------------------------------------------
平均性能指标:
Dice系数: 0.6483
IoU: 0.4941
F1分数: 0.6483
精确率: 0.6284
召回率: 0.6798
==================================================

各样本详细指标:
--------------------------------------------------
样本 240: Dice=0.765, IoU=0.620, F1=0.765, Precision=0.711, Recall=0.829
样本 241: Dice=0.706, IoU=0.546, F1=0.706, Precision=0.687, Recall=0.727
样本 242: Dice=0.702, IoU=0.541, F1=0.702, Precision=0.671, Recall=0.736
样本 243: Dice=0.864, IoU=0.760, F1=0.864, Precision=0.864, Recall=0.864
样本 244: Dice=0.521, IoU=0.352, F1=0.521, Precision=0.435, Recall=0.649
样本 245: Dice=0.631, IoU=0.461, F1=0.631, Precision=0.515, Recall=0.814
样本 246: Dice=0.046, IoU=0.024, F1=0.046, Precision=0.105, Recall=0.030
样本 247: Dice=0.676, IoU=0.510, F1=0.676, Precision=0.676, Recall=0.676
样本 248: Dice=0.558, IoU=0.387, F1=0.558, Precision=0.403, Recall=0.907
样本 249: Dice=0.721, IoU=0.564, F1=0.721, Precision=0.707, Recall=0.737
样本 250: Dice=0.561, IoU=0.390, F1=0.561, Precision=0.499, Recall=0.640
样本 251: Dice=0.564, IoU=0.393, F1=0.564, Precision=0.465, Recall=0.717
样本 252: Dice=0.608, IoU=0.437, F1=0.608, Precision=0.575, Recall=0.646
样本 253: Dice=0.752, IoU=0.603, F1=0.752, Precision=0.735, Recall=0.770
样本 254: Dice=0.685, IoU=0.521, F1=0.685, Precision=0.599, Recall=0.800
样本 255: Dice=0.862, IoU=0.757, F1=0.862, Precision=0.841, Recall=0.883
样本 256: Dice=0.761, IoU=0.614, F1=0.761, Precision=0.673, Recall=0.874
样本 257: Dice=0.616, IoU=0.445, F1=0.616, Precision=0.621, Recall=0.611
样本 258: Dice=0.060, IoU=0.031, F1=0.060, Precision=0.102, Recall=0.042
样本 259: Dice=0.696, IoU=0.533, F1=0.696, Precision=0.657, Recall=0.739
样本 260: Dice=0.793, IoU=0.656, F1=0.793, Precision=0.715, Recall=0.889
样本 261: Dice=0.733, IoU=0.579, F1=0.733, Precision=0.747, Recall=0.721
样本 262: Dice=0.588, IoU=0.417, F1=0.588, Precision=0.531, Recall=0.660
样本 263: Dice=0.777, IoU=0.635, F1=0.777, Precision=0.754, Recall=0.802
样本 264: Dice=0.498, IoU=0.332, F1=0.498, Precision=0.529, Recall=0.471
样本 265: Dice=0.784, IoU=0.644, F1=0.784, Precision=0.743, Recall=0.829
样本 266: Dice=0.732, IoU=0.578, F1=0.732, Precision=0.672, Recall=0.805
样本 267: Dice=0.723, IoU=0.567, F1=0.723, Precision=0.710, Recall=0.737
样本 268: Dice=0.753, IoU=0.604, F1=0.753, Precision=0.750, Recall=0.757
样本 269: Dice=0.621, IoU=0.450, F1=0.621, Precision=0.546, Recall=0.720
样本 270: Dice=0.744, IoU=0.592, F1=0.744, Precision=0.718, Recall=0.771
样本 271: Dice=0.671, IoU=0.505, F1=0.671, Precision=0.701, Recall=0.644
样本 272: Dice=0.645, IoU=0.476, F1=0.645, Precision=0.667, Recall=0.625
样本 273: Dice=0.687, IoU=0.523, F1=0.687, Precision=0.698, Recall=0.676
样本 274: Dice=0.668, IoU=0.502, F1=0.668, Precision=0.644, Recall=0.694
样本 275: Dice=0.715, IoU=0.557, F1=0.715, Precision=0.649, Recall=0.796
样本 276: Dice=0.513, IoU=0.345, F1=0.513, Precision=0.479, Recall=0.550
样本 277: Dice=0.673, IoU=0.508, F1=0.673, Precision=0.700, Recall=0.649
样本 278: Dice=0.577, IoU=0.405, F1=0.577, Precision=0.576, Recall=0.578
样本 279: Dice=0.753, IoU=0.604, F1=0.753, Precision=0.658, Recall=0.881
样本 280: Dice=0.375, IoU=0.231, F1=0.375, Precision=0.461, Recall=0.316
样本 281: Dice=0.658, IoU=0.490, F1=0.658, Precision=0.689, Recall=0.630
样本 282: Dice=0.719, IoU=0.561, F1=0.719, Precision=0.774, Recall=0.671
样本 283: Dice=0.361, IoU=0.221, F1=0.361, Precision=0.316, Recall=0.423
样本 284: Dice=0.741, IoU=0.589, F1=0.741, Precision=0.751, Recall=0.732
样本 285: Dice=0.607, IoU=0.435, F1=0.607, Precision=0.683, Recall=0.545
样本 286: Dice=0.728, IoU=0.573, F1=0.728, Precision=0.679, Recall=0.785
样本 287: Dice=0.733, IoU=0.579, F1=0.733, Precision=0.711, Recall=0.757
样本 288: Dice=0.770, IoU=0.625, F1=0.770, Precision=0.693, Recall=0.864
